N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,에코프로비엠,"511,900","9,100",+1.81%,500,"117,325","22,919",10.74,"212,451",102.09,20.26,
2,셀트리온헬스케어,"61,100","2,200",-3.48%,"1,000","96,633","158,155",15.45,"535,070",58.69,7.56,
3,엘앤에프,"236,800","5,400",-2.23%,500,"85,081","35,930",22.73,"437,267",-206.81,-27.41,
4,카카오게임즈,"60,400","1,200",-1.95%,100,"47,533","78,696",10.38,"264,161",8.77,34.06,
5,HLB,"37,400","2,100",-5.32%,500,"39,973","106,880",13.42,"1,896,011",-41.69,-21.43,
6,펄어비스,"62,000","1,400",-2.21%,100,"39,826","64,235",12.05,"275,199",92.26,8.76,
7,셀트리온제약,"80,000","2,300",-2.79%,500,"30,145","37,681",7.71,"60,954",95.47,10.93,
8,위메이드,"83,400","5,400",+6.92%,500,"28,000","33,573",4.96,"773,927",9.87,69.74,
9,천보,"257,700","3,000",+1.18%,500,"25,770","10,000",6.99,"74,926",55.28,17.19,
10,CJ ENM,"112,800",500,-0.44%,"5,000","24,736","21,929",20.65,"44,116",19.53,5.36,
11,스튜디오드래곤,"78,600","1,000",-1.26%,500,"23,591","30,014",10.27,"73,540",60.32,6.04,
12,씨젠,"42,500",900,-2.07%,500,"22,196","52,226",17.98,"168,138",4.13,62.15,
13,리노공업,"145,400","1,600",-1.09%,500,"22,162","15,242",45.19,"31,775",20.05,27.50,
14,알테오젠,"51,900","1,900",-3.53%,500,"22,134","42,647",12.37,"118,893","1,996.15",-3.92,
15,JYP Ent.,"58,400","1,000",-1.68%,500,"20,731","35,497",27.95,"246,738",28.75,31.43,
16,솔브레인,"264,400","6,100",-2.26%,500,"20,567","7,779",27.28,"15,114",13.33,26.28,
17,LX세미콘,"122,100",600,-0.49%,500,"19,859","16,264",33.02,"118,497",5.79,44.49,
18,동진쎄미켐,"38,200",950,-2.43%,500,"19,640","51,414",6.96,"548,423",16.81,20.92,
19,에코프로,"76,700","1,600",-2.04%,500,"18,754","24,451",7.65,"217,465",6.35,32.70,
20,에스티팜,"98,600","2,200",-2.18%,500,"18,545","18,809",0.00,"43,856",179.93,1.07,
21,원익IPS,"37,700",500,-1.31%,500,"18,505","49,084",18.27,"133,230",13.12,19.82,
22,에스엠,"70,900",600,+0.85%,500,"16,862","23,783",15.23,"457,864",11.11,25.48,
23,오스템임플란트,"115,500",0,0.00%,500,"16,500","14,286",29.35,"135,298",41.73,12.54,
24,동화기업,"77,900","1,300",-1.64%,500,"15,737","20,201",42.77,"30,169",35.78,6.68,
25,넥슨게임즈,"23,800",550,-2.26%,500,"15,645","65,734",2.32,"1,251,296",-54.09,-12.44,
26,티씨케이,"132,700","1,900",-1.41%,500,"15,493","11,675",68.42,"12,197",18.08,26.85,
27,파라다이스,"16,600",50,+0.30%,500,"15,096","90,943",5.32,"625,337",-23.99,-4.42,
28,휴젤,"121,000","1,500",-1.22%,500,"14,986","12,385",67.32,"32,931",27.87,7.58,
29,에스에프에이,"41,150",100,+0.24%,500,"14,776","35,909",14.37,"66,767",12.66,10.86,
30,심텍,"43,650",900,-2.02%,500,"13,904","31,854",10.90,"339,780",8.21,35.13,
31,대주전자재료,"83,400","1,800",+2.21%,500,"12,911","15,481",11.02,"132,899",63.91,21.24,
32,피엔티,"55,900","1,200",-2.10%,500,"12,712","22,741",13.74,"191,750",22.85,33.48,
33,아프리카TV,"109,000",400,-0.37%,500,"12,529","11,495",33.32,"69,081",16.68,39.90,
34,HK이노엔,"43,300",150,-0.35%,500,"12,516","28,904",1.46,"814,719",48.87,2.61,
35,신라젠,"12,100",0,0.00%,500,"12,447","102,867",2.23,0,-65.05,-24.45,
36,이오테크닉스,"100,000","1,400",-1.38%,500,"12,320","12,320",16.31,"39,378",16.37,16.29,
37,케이엠더블유,"30,500",550,-1.77%,500,"12,145","39,821",4.02,"70,653",-57.44,-1.50,
38,HLB생명과학,"12,500","1,150",-8.42%,500,"11,937","95,498",4.55,"4,004,806",-26.88,-18.43,
39,하나머티리얼즈,"60,100","2,600",-4.15%,500,"11,871","19,753",25.75,"90,127",16.23,29.96,
40,네이처셀,"18,950",0,0.00%,500,"11,870","62,637",5.68,"508,067",-37.67,-51.86,
41,에이비엘바이오,"24,550",150,+0.61%,500,"11,700","47,658",4.58,"222,719",-26.77,-59.42,
42,위지윅스튜디오,"26,950","2,500",-8.49%,500,"11,516","42,732",5.79,"950,108",-74.24,-6.68,
43,케어젠,"106,700","1,700",+1.62%,500,"11,463","10,743",2.51,"72,752",45.56,12.21,
44,컴투스,"88,000",0,0.00%,500,"11,322","12,866",11.63,"81,421",10.64,12.06,
45,엔켐,"73,300","3,000",-3.93%,500,"11,245","15,340",3.42,"204,930",-49.90,-11.58,
46,하림지주,"9,930",40,-0.40%,100,"11,122","112,006",7.21,"255,696",3.05,16.39,
47,메가스터디교육,"90,700","7,200",-7.35%,100,"10,759","11,862",28.87,"270,602",11.83,26.83,
